stage,comparison,median_diff,U,p_value,significant
1-1,A2C vs DQN,-307.5,2.0,0.4,False
1-1,A2C vs PPO,85.98484848484847,7.0,0.4,False
1-1,DQN vs PPO,393.48484848484844,9.0,0.1,False
1-2,A2C vs DQN,-160.16666666666663,3.0,0.7,False
1-2,A2C vs PPO,248.43939393939394,6.0,0.7,False
1-2,DQN vs PPO,408.60606060606057,9.0,0.1,False
4-1,A2C vs DQN,-279.66666666666663,1.0,0.2,False
4-1,A2C vs PPO,-1.636363636363626,3.0,0.7,False
4-1,DQN vs PPO,278.030303030303,6.0,0.7,False
8-1,A2C vs DQN,-108.00000000000003,0.0,0.1,False
8-1,A2C vs PPO,53.21212121212119,8.0,0.2,False
8-1,DQN vs PPO,161.21212121212122,9.0,0.1,False
