timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-77.0,39,0,0,111,278
10000,1,-77.0,39,0,0,111,278
10000,2,-77.0,39,0,0,111,278
10000,3,-77.0,39,0,0,111,278
10000,4,-77.0,39,0,0,111,278
20000,0,159.0,221,0,0,24,296
20000,1,159.0,221,0,0,24,296
20000,2,159.0,221,0,0,24,296
20000,3,159.0,221,0,0,24,296
20000,4,159.0,221,0,0,24,296
30000,0,496.0,563,0,0,49,291
30000,1,496.0,563,0,0,49,291
30000,2,496.0,563,0,0,49,291
30000,3,496.0,563,0,0,49,291
30000,4,496.0,563,0,0,49,291
40000,0,170.0,231,0,0,20,297
40000,1,170.0,231,0,0,20,297
40000,2,170.0,231,0,0,20,297
40000,3,170.0,231,0,0,20,297
40000,4,170.0,231,0,0,20,297
50000,0,274.0,337,0,0,31,294
50000,1,274.0,337,0,0,31,294
50000,2,274.0,337,0,0,31,294
50000,3,274.0,337,0,0,31,294
50000,4,274.0,337,0,0,31,294
60000,0,274.0,338,0,0,30,294
60000,1,274.0,338,0,0,30,294
60000,2,274.0,338,0,0,30,294
60000,3,274.0,338,0,0,30,294
60000,4,274.0,338,0,0,30,294
70000,0,589.0,656,0,0,58,289
70000,1,589.0,656,0,0,58,289
70000,2,589.0,656,0,0,58,289
70000,3,589.0,656,0,0,58,289
70000,4,589.0,656,0,0,58,289
80000,0,191.0,548,0,0,1505,0
80000,1,191.0,548,0,0,1505,0
80000,2,191.0,548,0,0,1505,0
80000,3,191.0,548,0,0,1505,0
80000,4,191.0,548,0,0,1505,0
90000,0,491.0,559,0,0,57,289
90000,1,491.0,559,0,0,57,289
90000,2,491.0,559,0,0,57,289
90000,3,491.0,559,0,0,57,289
90000,4,491.0,559,0,0,57,289
100000,0,276.0,339,0,0,29,295
100000,1,276.0,339,0,0,29,295
100000,2,276.0,339,0,0,29,295
100000,3,276.0,339,0,0,29,295
100000,4,276.0,339,0,0,29,295
110000,0,166.0,227,0,0,20,297
110000,1,166.0,227,0,0,20,297
110000,2,166.0,227,0,0,20,297
110000,3,166.0,227,0,0,20,297
110000,4,166.0,227,0,0,20,297
120000,0,276.0,338,0,0,29,295
120000,1,276.0,338,0,0,29,295
120000,2,276.0,338,0,0,29,295
120000,3,276.0,338,0,0,29,295
120000,4,276.0,338,0,0,29,295
130000,0,165.0,227,0,0,21,296
130000,1,165.0,227,0,0,21,296
130000,2,165.0,227,0,0,21,296
130000,3,165.0,227,0,0,21,296
130000,4,165.0,227,0,0,21,296
140000,0,494.0,560,0,0,52,290
140000,1,494.0,560,0,0,52,290
140000,2,494.0,560,0,0,52,290
140000,3,494.0,560,0,0,52,290
140000,4,494.0,560,0,0,52,290
150000,0,275.0,337,0,0,29,295
150000,1,275.0,337,0,0,29,295
150000,2,275.0,337,0,0,29,295
150000,3,275.0,337,0,0,29,295
150000,4,275.0,337,0,0,29,295
160000,0,311.0,375,0,0,33,294
160000,1,311.0,375,0,0,33,294
160000,2,311.0,375,0,0,33,294
160000,3,311.0,375,0,0,33,294
160000,4,311.0,375,0,0,33,294
170000,0,492.0,559,0,0,57,289
170000,1,492.0,559,0,0,57,289
170000,2,492.0,559,0,0,57,289
170000,3,492.0,559,0,0,57,289
170000,4,492.0,559,0,0,57,289
180000,0,276.0,338,0,0,30,295
180000,1,276.0,338,0,0,30,295
180000,2,276.0,338,0,0,30,295
180000,3,276.0,338,0,0,30,295
180000,4,276.0,338,0,0,30,295
190000,0,191.0,546,0,0,1505,0
190000,1,191.0,546,0,0,1505,0
190000,2,191.0,546,0,0,1505,0
190000,3,191.0,546,0,0,1505,0
190000,4,191.0,546,0,0,1505,0
