timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-165.0,290,0,0,2005,0
10000,1,-165.0,290,0,0,2005,0
10000,2,-165.0,290,0,0,2005,0
10000,3,-165.0,290,0,0,2005,0
10000,4,-165.0,290,0,0,2005,0
20000,0,137.0,198,0,0,19,397
20000,1,137.0,198,0,0,19,397
20000,2,137.0,198,0,0,19,397
20000,3,137.0,198,0,0,19,397
20000,4,137.0,198,0,0,19,397
30000,0,120.0,180,0,0,24,396
30000,1,120.0,180,0,0,24,396
30000,2,120.0,180,0,0,24,396
30000,3,120.0,180,0,0,24,396
30000,4,120.0,180,0,0,24,396
40000,0,-165.0,291,0,0,2005,0
40000,1,-165.0,291,0,0,2005,0
40000,2,-165.0,291,0,0,2005,0
40000,3,-165.0,291,0,0,2005,0
40000,4,-165.0,291,0,0,2005,0
50000,0,-197.0,258,0,0,2005,0
50000,1,-197.0,258,0,0,2005,0
50000,2,-197.0,258,0,0,2005,0
50000,3,-197.0,258,0,0,2005,0
50000,4,-197.0,258,0,0,2005,0
60000,0,-165.0,290,0,0,2005,0
60000,1,-165.0,290,0,0,2005,0
60000,2,-165.0,290,0,0,2005,0
60000,3,-165.0,290,0,0,2005,0
60000,4,-165.0,290,0,0,2005,0
70000,0,-165.0,290,0,0,2005,0
70000,1,-165.0,290,0,0,2005,0
70000,2,-165.0,290,0,0,2005,0
70000,3,-165.0,290,0,0,2005,0
70000,4,-165.0,290,0,0,2005,0
80000,0,120.0,180,0,0,24,396
80000,1,120.0,180,0,0,24,396
80000,2,120.0,180,0,0,24,396
80000,3,120.0,180,0,0,24,396
80000,4,120.0,180,0,0,24,396
90000,0,-165.0,290,0,0,2005,0
90000,1,-165.0,290,0,0,2005,0
90000,2,-165.0,290,0,0,2005,0
90000,3,-165.0,290,0,0,2005,0
90000,4,-165.0,290,0,0,2005,0
100000,0,-165.0,290,0,0,2005,0
100000,1,-165.0,290,0,0,2005,0
100000,2,-165.0,290,0,0,2005,0
100000,3,-165.0,290,0,0,2005,0
100000,4,-165.0,290,0,0,2005,0
110000,0,598.0,672,0,0,85,384
110000,1,598.0,672,0,0,85,384
110000,2,598.0,672,0,0,85,384
110000,3,598.0,672,0,0,85,384
110000,4,598.0,672,0,0,85,384
120000,0,120.0,180,0,0,24,396
120000,1,120.0,180,0,0,24,396
120000,2,120.0,180,0,0,24,396
120000,3,120.0,180,0,0,24,396
120000,4,120.0,180,0,0,24,396
130000,0,-165.0,290,0,0,2005,0
130000,1,-165.0,290,0,0,2005,0
130000,2,-165.0,290,0,0,2005,0
130000,3,-165.0,290,0,0,2005,0
130000,4,-165.0,290,0,0,2005,0
140000,0,-165.0,290,0,0,2005,0
140000,1,-165.0,290,0,0,2005,0
140000,2,-165.0,290,0,0,2005,0
140000,3,-165.0,290,0,0,2005,0
140000,4,-165.0,290,0,0,2005,0
150000,0,27.0,482,0,0,2005,0
150000,1,27.0,482,0,0,2005,0
150000,2,27.0,482,0,0,2005,0
150000,3,27.0,482,0,0,2005,0
150000,4,27.0,482,0,0,2005,0
160000,0,-101.0,355,0,0,2005,0
160000,1,-101.0,355,0,0,2005,0
